headline,source,datetime,headline,sentiment,score,date
"Airbnb : announces first-ever global live music partnership, with Lollapalooza festivals worldwide",Finnhub,2025-05-26 13:04:04,"Airbnb : announces first-ever global live music partnership, with Lollapalooza festivals worldwide",positive,0.9012970924377441,2025-05-27
Airbnb: Expect New Services And Experiences To Drive Incremental Bookings Growth,SeekingAlpha,2025-05-26 05:20:10,Airbnb: Expect New Services And Experiences To Drive Incremental Bookings Growth,positive,0.9202008247375488,2025-05-27
"Got $3,000? 3 Artificial Intelligence (AI) Stocks to Buy and Hold for the Long Term.",Yahoo,2025-05-23 10:05:00,"Got $3,000? 3 Artificial Intelligence (AI) Stocks to Buy and Hold for the Long Term.",neutral,0.9276281595230103,2025-05-27
"Airbnb, Inc. (ABNB) is Attracting Investor Attention: Here is What You Should Know",Yahoo,2025-05-22 13:00:14,"Airbnb, Inc. (ABNB) is Attracting Investor Attention: Here is What You Should Know",neutral,0.9151440262794495,2025-05-27
"Airbnb banks on Tour de France deal to boost French market, eyes luxury experiences",Finnhub,2025-05-22 12:03:11,"Airbnb banks on Tour de France deal to boost French market, eyes luxury experiences",positive,0.8435462117195129,2025-05-27
Why Sam Altman is one of tech’s great survivors,Yahoo,2025-05-22 11:00:24,Why Sam Altman is one of tech’s great survivors,neutral,0.8899008631706238,2025-05-27
Airbnb : partners with the Tour de France to shine a light on French regions,Finnhub,2025-05-22 06:34:53,Airbnb : partners with the Tour de France to shine a light on French regions,positive,0.780163049697876,2025-05-27
1 Cash-Producing Stock for Long-Term Investors and 2 to Brush Off,Yahoo,2025-05-22 04:37:52,1 Cash-Producing Stock for Long-Term Investors and 2 to Brush Off,neutral,0.7647826671600342,2025-05-27
OpenAI to buy AI device startup from Apple veteran Jony Ive in $6.5 billion deal,Yahoo,2025-05-22 02:59:44,OpenAI to buy AI device startup from Apple veteran Jony Ive in $6.5 billion deal,neutral,0.7817296385765076,2025-05-27
"Airbnb Inc. Cl A stock falls Wednesday, underperforms market",MarketWatch,2025-05-21 16:42:00,"Airbnb Inc. Cl A stock falls Wednesday, underperforms market",negative,0.930474579334259,2025-05-27
The Evolution Of Marketplace Convenience,SeekingAlpha,2025-05-21 03:50:00,The Evolution Of Marketplace Convenience,neutral,0.9132803678512573,2025-05-27
Equity Markets Drop as S&P 500 Snaps 6-Day Winning Streak,Yahoo,2025-05-20 20:59:08,Equity Markets Drop as S&P 500 Snaps 6-Day Winning Streak,negative,0.9060759544372559,2025-05-27
U.S. Vacation Rental Market Collapses As Second Home Purchases Drop To The Lowest Level Ever Amid High Interest Rates And Return To Office Mandates,Yahoo,2025-05-20 19:30:18,U.S. Vacation Rental Market Collapses As Second Home Purchases Drop To The Lowest Level Ever Amid High Interest Rates And Return To Office Mandates,negative,0.9680298566818237,2025-05-27
Equities Fall Intraday as Markets Weigh Fed Official's Remarks,Yahoo,2025-05-20 18:18:38,Equities Fall Intraday as Markets Weigh Fed Official's Remarks,negative,0.8821234107017517,2025-05-27
"Airbnb vs. Spain, Victoria's Secret, Uber stock hits record high",Yahoo,2025-05-20 18:10:15,"Airbnb vs. Spain, Victoria's Secret, Uber stock hits record high",positive,0.8206875920295715,2025-05-27
"Airbnb, Inc. (ABNB): A Bull Case Theory",Yahoo,2025-05-20 17:23:14,"Airbnb, Inc. (ABNB): A Bull Case Theory",neutral,0.9285835027694702,2025-05-27
"Airbnb Inc. Cl A stock falls Tuesday, underperforms market",MarketWatch,2025-05-20 16:30:00,"Airbnb Inc. Cl A stock falls Tuesday, underperforms market",negative,0.9144286513328552,2025-05-27
"Top Stock Movers Now: Viking, Moderna, Uber Technologies, and More",Yahoo,2025-05-20 15:56:53,"Top Stock Movers Now: Viking, Moderna, Uber Technologies, and More",neutral,0.9152968525886536,2025-05-27
"Spain orders Airbnb to take down 65,000 holiday homes in row over house prices",Yahoo,2025-05-20 15:17:25,"Spain orders Airbnb to take down 65,000 holiday homes in row over house prices",negative,0.962530791759491,2025-05-27
Tariff-Driven Dollar Woes Help Brighten First-Quarter Earnings,Yahoo,2025-05-20 12:00:00,Tariff-Driven Dollar Woes Help Brighten First-Quarter Earnings,positive,0.8171748518943787,2025-05-27
"Update: Airbnb Ordered by Spain to Remove More Than 65,000 Listings",Yahoo,2025-05-20 10:43:28,"Update: Airbnb Ordered by Spain to Remove More Than 65,000 Listings",negative,0.9669113755226135,2025-05-27
