headline,source,datetime,headline,sentiment,score,date
Nvidia Q1 Preview: Trade War Troubles,SeekingAlpha,2025-05-27 01:28:51,Nvidia Q1 Preview: Trade War Troubles,neutral,0.8820699453353882,2025-05-27
"Nvidia has lost its shock power to investors, for now",Yahoo,2025-05-25 12:30:45,"Nvidia has lost its shock power to investors, for now",negative,0.8571349382400513,2025-05-27
Nvidia's Gaming Business Could Be in Trouble,Yahoo,2025-05-25 10:15:00,Nvidia's Gaming Business Could Be in Trouble,negative,0.9419607520103455,2025-05-27
"Billionaire fund manager, skeptical of AI, backs shocking stock",Yahoo,2025-05-24 16:47:00,"Billionaire fund manager, skeptical of AI, backs shocking stock",neutral,0.7628268599510193,2025-05-27
Should You Buy These Beaten-Down Tech Stocks?,Yahoo,2025-05-24 15:17:00,Should You Buy These Beaten-Down Tech Stocks?,neutral,0.8015992641448975,2025-05-27
Option traders moderately bearish in Advanced Micro Devices with shares down 1.59%,Yahoo,2025-05-24 14:35:15,Option traders moderately bearish in Advanced Micro Devices with shares down 1.59%,negative,0.9710445404052734,2025-05-27
A Once-in-a-Decade Investment Opportunity: 1 Artificial Intelligence (AI) Chip Stock to Buy Hand Over Fist Right This Instant (Hint: It's Not Nvidia),Yahoo,2025-05-24 13:00:00,A Once-in-a-Decade Investment Opportunity: 1 Artificial Intelligence (AI) Chip Stock to Buy Hand Over Fist Right This Instant (Hint: It's Not Nvidia),neutral,0.8754101991653442,2025-05-27
Billionaire Philippe Laffont Just Sold Shares of Nvidia and 2 Other AI Powerhouses and Bought Shares of This Nvidia-Backed Company,Yahoo,2025-05-24 08:10:00,Billionaire Philippe Laffont Just Sold Shares of Nvidia and 2 Other AI Powerhouses and Bought Shares of This Nvidia-Backed Company,neutral,0.9317818880081177,2025-05-27
Nvidia: 5 Channel Checks Ahead Of Earnings,SeekingAlpha,2025-05-24 00:01:00,Nvidia: 5 Channel Checks Ahead Of Earnings,neutral,0.9097522497177124,2025-05-27
Advanced Micro Devices Unveils New GPUs for Gaming and AI Development,Yahoo,2025-05-23 17:04:47,Advanced Micro Devices Unveils New GPUs for Gaming and AI Development,neutral,0.5797404050827026,2025-05-27
Micron Stock Soars 23% in a Month: Time to Hold or Book Profits?,Yahoo,2025-05-23 12:55:00,Micron Stock Soars 23% in a Month: Time to Hold or Book Profits?,negative,0.5081748962402344,2025-05-27
Where Will AMD Stock Be in 3 Years?,Yahoo,2025-05-23 12:00:00,Where Will AMD Stock Be in 3 Years?,neutral,0.9419750571250916,2025-05-27
"Red Hat and Advanced Micro Devices, Inc. (AMD) Strengthen Strategic Collaboration to Advance AI Solutions",Yahoo,2025-05-23 11:53:55,"Red Hat and Advanced Micro Devices, Inc. (AMD) Strengthen Strategic Collaboration to Advance AI Solutions",positive,0.9292092323303223,2025-05-27
AI Chips Update - NVIDIA Partners With Navitas For Next-Gen Data Center Power,Yahoo,2025-05-23 11:37:37,AI Chips Update - NVIDIA Partners With Navitas For Next-Gen Data Center Power,positive,0.8753432631492615,2025-05-27
"AMD: Valuation Is Attractive Now, Shifting To Buy (Rating Upgrade)",SeekingAlpha,2025-05-23 11:00:34,"AMD: Valuation Is Attractive Now, Shifting To Buy (Rating Upgrade)",positive,0.9479131102561951,2025-05-27
AMD: Selling Options On This Chip Juggernaut Could Yield 15% Or More,SeekingAlpha,2025-05-23 10:31:15,AMD: Selling Options On This Chip Juggernaut Could Yield 15% Or More,neutral,0.8075386881828308,2025-05-27
"Most large cryptocurrencies decrease on Sui, Tronix drops",MarketWatch,2025-05-23 10:00:00,"Most large cryptocurrencies decrease on Sui, Tronix drops",negative,0.9614783525466919,2025-05-27
BUZZ Investing: Tariff Chaos Drive Historic Market Swings,SeekingAlpha,2025-05-23 09:50:00,BUZZ Investing: Tariff Chaos Drive Historic Market Swings,negative,0.6413241028785706,2025-05-27
What the Era of ‘Sovereign AI’ Means for Chip Makers,Yahoo,2025-05-23 09:30:00,What the Era of ‘Sovereign AI’ Means for Chip Makers,neutral,0.915433406829834,2025-05-27
"Was Jim Cramer Right About Advanced Micro Devices, Inc. (AMD)?",Yahoo,2025-05-22 20:27:51,"Was Jim Cramer Right About Advanced Micro Devices, Inc. (AMD)?",neutral,0.7916460633277893,2025-05-27
Intel Doesn't Need To Beat TSMC To Win - Nearing $20 Buy Signal,SeekingAlpha,2025-05-22 18:48:19,Intel Doesn't Need To Beat TSMC To Win - Nearing $20 Buy Signal,neutral,0.5590977668762207,2025-05-27
Advanced Micro Devices (NasdaqGS:AMD) Unveils High-Performance AI GPUs And CPUs At COMPUTEX 2025,Yahoo,2025-05-22 17:23:50,Advanced Micro Devices (NasdaqGS:AMD) Unveils High-Performance AI GPUs And CPUs At COMPUTEX 2025,neutral,0.9050400257110596,2025-05-27
Bank of America sends strong message on AMD stock ahead of key AI event,Yahoo,2025-05-22 16:03:00,Bank of America sends strong message on AMD stock ahead of key AI event,positive,0.9137043356895447,2025-05-27
AMD: Positives Everywhere,SeekingAlpha,2025-05-22 12:52:56,AMD: Positives Everywhere,positive,0.788743793964386,2025-05-27
"NVIDIA's Q1 Earnings Coming Up: Time to Buy, Sell or Hold the Stock?",Yahoo,2025-05-22 10:24:00,"NVIDIA's Q1 Earnings Coming Up: Time to Buy, Sell or Hold the Stock?",neutral,0.9290265440940857,2025-05-27
Nvidia Stock Rises. Why This Analyst’s Shrugging Off China Chip Restrictions Impact.,MarketWatch,2025-05-22 10:11:00,Nvidia Stock Rises. Why This Analyst’s Shrugging Off China Chip Restrictions Impact.,neutral,0.7528501749038696,2025-05-27
