headline,source,datetime,headline,sentiment,score,date
BNY Mellon Equity Income Fund Q1 2025 Commentary,SeekingAlpha,2025-05-27 07:24:00,BNY Mellon Equity Income Fund Q1 2025 Commentary,neutral,0.9457470774650574,2025-05-27
"BNY Mellon Worldwide Growth Fund, Inc. Q1 2025 Commentary",SeekingAlpha,2025-05-27 04:46:00,"BNY Mellon Worldwide Growth Fund, Inc. Q1 2025 Commentary",neutral,0.9468692541122437,2025-05-27
Shopify: Wait For A Drop,SeekingAlpha,2025-05-26 16:21:28,Shopify: Wait For A Drop,neutral,0.923073410987854,2025-05-27
"How To Build A $100,000 Dividend Portfolio That Could Yield 10.75% In 15 Years",SeekingAlpha,2025-05-26 16:00:00,"How To Build A $100,000 Dividend Portfolio That Could Yield 10.75% In 15 Years",neutral,0.837814211845398,2025-05-27
MercadoLibre: Massive Growth Curve Ahead,SeekingAlpha,2025-05-26 09:58:16,MercadoLibre: Massive Growth Curve Ahead,neutral,0.8852764368057251,2025-05-27
BNY Mellon Global Real Return Fund Q1 2025 Commentary,SeekingAlpha,2025-05-26 08:52:00,BNY Mellon Global Real Return Fund Q1 2025 Commentary,neutral,0.945335865020752,2025-05-27
Alger SICAV - Alger American Asset Growth Fund Q1 2025 Commentary,SeekingAlpha,2025-05-26 08:35:00,Alger SICAV - Alger American Asset Growth Fund Q1 2025 Commentary,neutral,0.9436415433883667,2025-05-27
Market Blinked: Nvidia Looks Undervalued,SeekingAlpha,2025-05-26 07:15:00,Market Blinked: Nvidia Looks Undervalued,negative,0.4820905029773712,2025-05-27
The Next Big Theme: May 2025,SeekingAlpha,2025-05-26 01:45:00,The Next Big Theme: May 2025,neutral,0.9398119449615479,2025-05-27
"$600B AI Opportunity: Nvidia's 18,000-Chip Deal With Saudi Arabia's Humain Puts Middle East 'Front Of The Line,' Says Wedbush's Dan Ives",Yahoo,2025-05-25 13:30:48,"$600B AI Opportunity: Nvidia's 18,000-Chip Deal With Saudi Arabia's Humain Puts Middle East 'Front Of The Line,' Says Wedbush's Dan Ives",positive,0.8727487325668335,2025-05-27
Alger Capital Appreciation Fund Q1 2025 Commentary,SeekingAlpha,2025-05-25 10:15:00,Alger Capital Appreciation Fund Q1 2025 Commentary,neutral,0.9184705018997192,2025-05-27
Alger Spectra Fund Q1 2025 Commentary,SeekingAlpha,2025-05-25 09:37:00,Alger Spectra Fund Q1 2025 Commentary,neutral,0.9376141428947449,2025-05-27
Warning To U.S. Stock Investors Issued By CDS Markets,SeekingAlpha,2025-05-25 09:00:30,Warning To U.S. Stock Investors Issued By CDS Markets,neutral,0.6078823208808899,2025-05-27
Profit or Promise? Decoding Coupang's Global Expansion in Q1 2025,Yahoo,2025-05-25 08:39:56,Profit or Promise? Decoding Coupang's Global Expansion in Q1 2025,neutral,0.863118052482605,2025-05-27
Truist Reiterates Buy on Amazon.com (AMZN) as Q2 Revenue Tracks Ahead,Yahoo,2025-05-25 05:52:17,Truist Reiterates Buy on Amazon.com (AMZN) as Q2 Revenue Tracks Ahead,positive,0.6158090829849243,2025-05-27
Billionaire Bill Ackman bets big on battered e-commerce giant,Yahoo,2025-05-24 23:00:00,Billionaire Bill Ackman bets big on battered e-commerce giant,neutral,0.6111441254615784,2025-05-27
Here's Why Walmart Continues to Crush the S&P 500 (and if the Dividend Stock Is a Buy Now),Yahoo,2025-05-24 15:27:00,Here's Why Walmart Continues to Crush the S&P 500 (and if the Dividend Stock Is a Buy Now),neutral,0.8350678086280823,2025-05-27
"The Best Warren Buffett Stocks to Buy With $1,000 Right Now",Yahoo,2025-05-24 08:05:00,"The Best Warren Buffett Stocks to Buy With $1,000 Right Now",neutral,0.9148252606391907,2025-05-27
5 Best CEFs This Month For Yields Up To 14% (May 2025),SeekingAlpha,2025-05-24 08:00:00,5 Best CEFs This Month For Yields Up To 14% (May 2025),neutral,0.8643366098403931,2025-05-27
Billionaire CEO Jamie Dimon Says America Is Still the Best Place to Invest: 2 U.S. Stocks to Buy Now,Yahoo,2025-05-24 07:05:00,Billionaire CEO Jamie Dimon Says America Is Still the Best Place to Invest: 2 U.S. Stocks to Buy Now,neutral,0.6122117638587952,2025-05-27
Nvidia: 5 Channel Checks Ahead Of Earnings,SeekingAlpha,2025-05-24 00:01:00,Nvidia: 5 Channel Checks Ahead Of Earnings,neutral,0.9097522497177124,2025-05-27
Columbia Balanced Fund Q1 2025 Commentary,SeekingAlpha,2025-05-23 23:15:00,Columbia Balanced Fund Q1 2025 Commentary,neutral,0.9430544376373291,2025-05-27
Taking Stock of the Earnings Picture,Yahoo,2025-05-23 22:48:00,Taking Stock of the Earnings Picture,neutral,0.9166557192802429,2025-05-27
Why I'm Not Selling Amazon After a 560% Gain,Yahoo,2025-05-23 21:30:00,Why I'm Not Selling Amazon After a 560% Gain,neutral,0.9029318690299988,2025-05-27
Why I'm Not Selling MercadoLibre After a 100% Gain,Yahoo,2025-05-23 21:15:00,Why I'm Not Selling MercadoLibre After a 100% Gain,neutral,0.9064222574234009,2025-05-27
"Amazon.com, Inc. (AMZN) Faces Lawsuit Over Claims it Sold Contaminated Rice",Yahoo,2025-05-23 20:32:13,"Amazon.com, Inc. (AMZN) Faces Lawsuit Over Claims it Sold Contaminated Rice",negative,0.9453098773956299,2025-05-27
Whole Foods Union Certified by US in First for Amazon’s Grocer,Yahoo,2025-05-23 20:07:22,Whole Foods Union Certified by US in First for Amazon’s Grocer,positive,0.6097337007522583,2025-05-27
Amazon.com is sued over alleged sale of contaminated rice,Yahoo,2025-05-23 18:36:42,Amazon.com is sued over alleged sale of contaminated rice,negative,0.9567523002624512,2025-05-27
Amazon.com (NasdaqGS:AMZN) Shareholders Vote Down Warehouse Conditions Proposal,Yahoo,2025-05-23 17:17:50,Amazon.com (NasdaqGS:AMZN) Shareholders Vote Down Warehouse Conditions Proposal,negative,0.9107239246368408,2025-05-27
"Amazon, Meta Veterans Raise $4M For Tensor9 Startup Backed By NVAngels That Redefines Enterprise AI Deployment",Yahoo,2025-05-23 17:01:15,"Amazon, Meta Veterans Raise $4M For Tensor9 Startup Backed By NVAngels That Redefines Enterprise AI Deployment",positive,0.6884220242500305,2025-05-27
