headline,source,datetime,headline,sentiment,score,date
Citigroup: A Valuation Trap Amid Turnaround Fatigue,SeekingAlpha,2025-05-27 09:38:05,Citigroup: A Valuation Trap Amid Turnaround Fatigue,negative,0.9437462091445923,2025-05-28
Citigroup: Transformation Unlocks EPS,SeekingAlpha,2025-05-26 11:32:08,Citigroup: Transformation Unlocks EPS,positive,0.600976824760437,2025-05-28
"Citi appoints Thakker head of corporate bank for South and Southeast Asia, memo shows",Finnhub,2025-05-26 00:40:20,"Citi appoints Thakker head of corporate bank for South and Southeast Asia, memo shows",neutral,0.9271929860115051,2025-05-28
"MOVES-Citi appoints Thakker head of corporate bank for South and Southeast Asia, memo shows",Finnhub,2025-05-26 00:40:20,"MOVES-Citi appoints Thakker head of corporate bank for South and Southeast Asia, memo shows",neutral,0.9166747331619263,2025-05-28
Warren Buffett Sold Bank of America and Citigroup and Is Piling Into This High-Yield Investment Instead,Yahoo,2025-05-25 09:25:00,Warren Buffett Sold Bank of America and Citigroup and Is Piling Into This High-Yield Investment Instead,neutral,0.9198613166809082,2025-05-28
Junkiest Junk Is Offering a Warning Sign for Debt,Yahoo,2025-05-24 19:00:00,Junkiest Junk Is Offering a Warning Sign for Debt,negative,0.45878487825393677,2025-05-28
Citi Unveils Citi AI to Enhance Hong Kong Operations,Yahoo,2025-05-23 17:06:44,Citi Unveils Citi AI to Enhance Hong Kong Operations,positive,0.7786000967025757,2025-05-28
Caris Life Sciences discloses rise in revenue in US IPO filing,Finnhub,2025-05-23 16:10:25,Caris Life Sciences discloses rise in revenue in US IPO filing,positive,0.9502630829811096,2025-05-28
US Long-Term Borrowing Costs Surge Over Deficit Concerns,Yahoo,2025-05-23 11:39:54,US Long-Term Borrowing Costs Surge Over Deficit Concerns,negative,0.7032020688056946,2025-05-28
Bitcoin Price Falls Back From Highs. Trump Tariff Threats Are Hurting Cryptos.,MarketWatch,2025-05-23 08:54:00,Bitcoin Price Falls Back From Highs. Trump Tariff Threats Are Hurting Cryptos.,negative,0.9617293477058411,2025-05-28
Bitcoin Left the Big Banks Behind. Why Their Next Crypto Venture Is Doomed and 5 Other Things to Know Today.,MarketWatch,2025-05-23 07:04:00,Bitcoin Left the Big Banks Behind. Why Their Next Crypto Venture Is Doomed and 5 Other Things to Know Today.,neutral,0.7928070425987244,2025-05-28
Wall Street Breakfast Podcast: Banking Titans In Early Talks For Shared Stablecoin,SeekingAlpha,2025-05-23 06:34:45,Wall Street Breakfast Podcast: Banking Titans In Early Talks For Shared Stablecoin,neutral,0.829841673374176,2025-05-28
"50 Largest U.S. Banks By Total Assets, Q1 2025",SeekingAlpha,2025-05-23 06:10:00,"50 Largest U.S. Banks By Total Assets, Q1 2025",neutral,0.9334264397621155,2025-05-28
