headline,source,datetime,headline,sentiment,score,date
Should You Buy eBay Inc. (NASDAQ:EBAY) For Its Upcoming Dividend?,Yahoo,2025-05-25 12:07:19,Should You Buy eBay Inc. (NASDAQ:EBAY) For Its Upcoming Dividend?,neutral,0.9377151131629944,2025-05-27
"Dividend Champion, Contender, And Challenger Highlights: Week Of May 25",SeekingAlpha,2025-05-25 02:00:23,"Dividend Champion, Contender, And Challenger Highlights: Week Of May 25",neutral,0.9097726941108704,2025-05-27
Columbia Balanced Fund Q1 2025 Commentary,SeekingAlpha,2025-05-23 23:15:00,Columbia Balanced Fund Q1 2025 Commentary,neutral,0.9430544376373291,2025-05-27
"Insiders At eBay Sold US$2.3m In Stock, Alluding To Potential Weakness",Yahoo,2025-05-22 12:00:11,"Insiders At eBay Sold US$2.3m In Stock, Alluding To Potential Weakness",neutral,0.8829246759414673,2025-05-27
Can eBay Bargains Keep New York City’s Subways Running?,DowJones,2025-05-22 12:00:00,Can eBay Bargains Keep New York City’s Subways Running?,neutral,0.8223801255226135,2025-05-27
eBay Inc. stock outperforms competitors despite losses on the day,MarketWatch,2025-05-21 16:57:00,eBay Inc. stock outperforms competitors despite losses on the day,positive,0.9314224123954773,2025-05-27
EBay : Publishes 2024 Impact Report,Finnhub,2025-05-21 12:55:06,EBay : Publishes 2024 Impact Report,neutral,0.844370424747467,2025-05-27
EBay Stock Enters A Buy Zone As Global Tariff Tensions Temporarily Ease,Yahoo,2025-05-21 12:00:12,EBay Stock Enters A Buy Zone As Global Tariff Tensions Temporarily Ease,positive,0.6861082911491394,2025-05-27
"EBay : 2024 GRI, SASB, and TCFD Indices (2024 GRI SASB and TCFD Indices)",Finnhub,2025-05-21 04:46:15,"EBay : 2024 GRI, SASB, and TCFD Indices (2024 GRI SASB and TCFD Indices)",neutral,0.9465454816818237,2025-05-27
EBay : 2024 Impact Report,Finnhub,2025-05-21 04:44:10,EBay : 2024 Impact Report,neutral,0.6556162238121033,2025-05-27
The Evolution Of Marketplace Convenience,SeekingAlpha,2025-05-21 03:50:00,The Evolution Of Marketplace Convenience,neutral,0.9132803678512573,2025-05-27
