headline,source,datetime,headline,sentiment,score,date
3M Rises 15.8% YTD: Should You Buy the Stock Now or Wait?,Yahoo,2025-05-22 14:08:00,3M Rises 15.8% YTD: Should You Buy the Stock Now or Wait?,neutral,0.8997119069099426,2025-05-27
Q1 Earnings Roundup: 3M (NYSE:MMM) And The Rest Of The General Industrial Machinery Segment,Yahoo,2025-05-22 03:31:21,Q1 Earnings Roundup: 3M (NYSE:MMM) And The Rest Of The General Industrial Machinery Segment,neutral,0.9237346649169922,2025-05-27
Scotch Painter's Tape introduces ScotchBlue PROSharp Painter's Tape with Edge-Lock+ Technology,Yahoo,2025-05-21 15:36:00,Scotch Painter's Tape introduces ScotchBlue PROSharp Painter's Tape with Edge-Lock+ Technology,neutral,0.8285896182060242,2025-05-27
"UnitedHealth, Nike share losses lead Dow's 817-point fall",MarketWatch,2025-05-21 15:18:00,"UnitedHealth, Nike share losses lead Dow's 817-point fall",negative,0.8982127904891968,2025-05-27
"Dow drops 690 points on losses for shares of UnitedHealth, Nike",MarketWatch,2025-05-21 14:17:00,"Dow drops 690 points on losses for shares of UnitedHealth, Nike",negative,0.9620398879051208,2025-05-27
"UnitedHealth, Nike share losses lead Dow's 525-point drop",MarketWatch,2025-05-21 13:16:00,"UnitedHealth, Nike share losses lead Dow's 525-point drop",negative,0.937096118927002,2025-05-27
3M: Sell The Rebound,SeekingAlpha,2025-05-21 12:35:58,3M: Sell The Rebound,neutral,0.9379897117614746,2025-05-27
ScotchBlue PROSharp?? Painter's Tape with Edge-Lock+ Technology,Finnhub,2025-05-21 12:35:26,ScotchBlue PROSharp?? Painter's Tape with Edge-Lock+ Technology,neutral,0.9194259643554688,2025-05-27
My Dividend Stock Portfolio: New All-Time Dividend Record In April - 100 Holdings With 14 Buys,SeekingAlpha,2025-05-21 08:10:00,My Dividend Stock Portfolio: New All-Time Dividend Record In April - 100 Holdings With 14 Buys,positive,0.5043931603431702,2025-05-27
"3M: High Valuation, But The Chart Points To Potentially Explosive Gain",SeekingAlpha,2025-05-20 03:02:09,"3M: High Valuation, But The Chart Points To Potentially Explosive Gain",positive,0.9027794003486633,2025-05-27
