headline,source,datetime,headline,sentiment,score,date
Starbucks: Long-Term Investors Could Be Rewarded Despite Market Scepticism,SeekingAlpha,2025-05-27 07:30:00,Starbucks: Long-Term Investors Could Be Rewarded Despite Market Scepticism,positive,0.950126588344574,2025-05-28
Starbucks: I Have Been Skeptical For A Reason,SeekingAlpha,2025-05-27 06:32:57,Starbucks: I Have Been Skeptical For A Reason,neutral,0.86872398853302,2025-05-28
"Starbucks: Despite New Leadership Efforts, Customer Tastes Appear To Be Changing",SeekingAlpha,2025-05-26 16:00:16,"Starbucks: Despite New Leadership Efforts, Customer Tastes Appear To Be Changing",negative,0.48774951696395874,2025-05-28
Starbucks Adopts People-First Scheduling Strategy as It Reassesses Staffing Automation Investment,Finnhub,2025-05-26 12:10:19,Starbucks Adopts People-First Scheduling Strategy as It Reassesses Staffing Automation Investment,neutral,0.7767567038536072,2025-05-28
Starbucks: Operating Margins Plunge Amid Reignition Attempts,SeekingAlpha,2025-05-26 01:49:16,Starbucks: Operating Margins Plunge Amid Reignition Attempts,negative,0.9725427031517029,2025-05-28
"Dividend Champion, Contender, And Challenger Highlights: Week Of May 25",SeekingAlpha,2025-05-25 02:00:23,"Dividend Champion, Contender, And Challenger Highlights: Week Of May 25",neutral,0.9097726941108704,2025-05-28
Why Starbucks is banning orders under certain names in South Korea,Yahoo,2025-05-23 18:15:00,Why Starbucks is banning orders under certain names in South Korea,negative,0.5367339253425598,2025-05-28
Was Jim Cramer Right About Starbucks Corporation (SBUX)?,Yahoo,2025-05-23 10:28:37,Was Jim Cramer Right About Starbucks Corporation (SBUX)?,neutral,0.8282365798950195,2025-05-28
BUZZ Investing: Tariff Chaos Drive Historic Market Swings,SeekingAlpha,2025-05-23 09:50:00,BUZZ Investing: Tariff Chaos Drive Historic Market Swings,negative,0.6413241028785706,2025-05-28
Starbucks Corp. stock outperforms competitors on strong trading day,MarketWatch,2025-05-22 16:39:00,Starbucks Corp. stock outperforms competitors on strong trading day,positive,0.9410997033119202,2025-05-28
The world's 10 best cities to live in revealed,Yahoo,2025-05-22 05:00:20,The world's 10 best cities to live in revealed,neutral,0.5235046148300171,2025-05-28
Starbucks Corp. stock underperforms Wednesday when compared to competitors,MarketWatch,2025-05-21 16:40:00,Starbucks Corp. stock underperforms Wednesday when compared to competitors,negative,0.9231699705123901,2025-05-28
Starbucks Corporation (SBUX) Is a Trending Stock: Facts to Know Before Betting on It,Yahoo,2025-05-21 13:00:13,Starbucks Corporation (SBUX) Is a Trending Stock: Facts to Know Before Betting on It,neutral,0.9333816766738892,2025-05-28
These Travelers Plot Their Airport Starbucks Run Down to the Minute,Yahoo,2025-05-21 01:00:00,These Travelers Plot Their Airport Starbucks Run Down to the Minute,neutral,0.7230267524719238,2025-05-28
