ds,y
2024-12-30,131.81
2024-12-31,131.41
2025-01-02,131.48
2025-01-03,135.71
2025-01-06,135.2
2025-01-07,131.29
2025-01-08,130.8
2025-01-10,129.63
2025-01-13,128.85
2025-01-14,127.6
2025-01-15,132.52
2025-01-16,132.16
2025-01-17,135.12
2025-01-21,133.07
2025-01-22,132.5
2025-01-23,133.24
2025-01-24,127.09
2025-01-27,128.96
2025-01-28,131.05
2025-01-29,132.58
2025-01-30,131.79
2025-01-31,131.17
2025-02-03,129.78
2025-02-04,130.74
2025-02-05,129.6
2025-02-06,132.57
2025-02-07,134.98
2025-02-10,135.24
2025-02-11,134.52
2025-02-12,140.52
2025-02-13,141.04
2025-02-14,161.42
2025-02-18,160.6
2025-02-19,157.98
2025-02-20,155.31
2025-02-21,146.07
2025-02-24,144.82
2025-02-25,141.55
2025-02-26,144.03
2025-02-27,139.45
2025-02-28,138.87
2025-03-03,140.98
2025-03-04,141.42
2025-03-05,142.58
2025-03-06,134.77
2025-03-07,134.39
2025-03-10,132.15
2025-03-11,125.44
2025-03-12,126.55
2025-03-13,119.38
2025-03-14,122.86
2025-03-17,126.94
2025-03-18,124.56
2025-03-19,126.0
2025-03-20,126.15
2025-03-21,128.8
2025-03-24,129.82
2025-03-25,129.88
2025-03-26,128.64
2025-03-27,125.65
2025-03-28,120.69
2025-03-31,119.46
2025-04-01,121.18
2025-04-02,122.8
2025-04-03,113.97
2025-04-04,106.66
2025-04-07,106.3
2025-04-08,105.69
2025-04-09,121.32
2025-04-10,113.91
2025-04-11,114.54
2025-04-14,113.22
2025-04-15,114.64
2025-04-16,112.64
2025-04-17,112.7
2025-04-21,111.61
2025-04-22,114.91
2025-04-23,118.28
2025-04-24,121.71
2025-04-25,122.51
2025-04-28,123.3
2025-04-29,125.49
2025-04-30,121.92
2025-05-01,124.01
2025-05-02,125.26
2025-05-05,124.89
2025-05-06,121.67
2025-05-07,123.12
2025-05-08,126.39
2025-05-09,127.04
2025-05-12,134.21
2025-05-13,138.05
2025-05-14,137.45
2025-05-15,136.79
2025-05-16,138.0
2025-05-19,136.6
2025-05-20,132.13
2025-05-21,127.52
2025-05-22,127.65
2025-05-23,126.72
