ds,y
2024-12-30,122.44
2024-12-31,120.79
2025-01-02,120.63
2025-01-03,125.37
2025-01-06,129.55
2025-01-07,127.33
2025-01-08,121.84
2025-01-10,116.04
2025-01-13,117.32
2025-01-14,116.09
2025-01-15,119.96
2025-01-16,118.44
2025-01-17,121.46
2025-01-21,122.28
2025-01-22,123.75
2025-01-23,123.04
2025-01-24,122.84
2025-01-27,115.01
2025-01-28,114.17
2025-01-29,117.35
2025-01-30,118.86
2025-01-31,115.95
2025-02-03,114.27
2025-02-04,119.5
2025-02-05,112.01
2025-02-06,110.16
2025-02-07,107.56
2025-02-10,110.48
2025-02-11,111.1
2025-02-12,111.72
2025-02-13,111.81
2025-02-14,113.1
2025-02-18,114.28
2025-02-19,114.69
2025-02-20,114.17
2025-02-21,110.84
2025-02-24,108.11
2025-02-25,103.96
2025-02-26,104.74
2025-02-27,99.51
2025-02-28,99.86
2025-03-03,98.23
2025-03-04,100.75
2025-03-05,101.67
2025-03-06,98.85
2025-03-07,100.31
2025-03-10,96.63
2025-03-11,96.76
2025-03-12,100.79
2025-03-13,98.11
2025-03-14,100.97
2025-03-17,104.59
2025-03-18,103.51
2025-03-19,106.23
2025-03-20,107.14
2025-03-21,106.44
2025-03-24,113.85
2025-03-25,114.81
2025-03-26,110.19
2025-03-27,106.65
2025-03-28,103.22
2025-03-31,102.74
2025-04-01,102.78
2025-04-02,102.96
2025-04-03,93.8
2025-04-04,85.76
2025-04-07,83.64
2025-04-08,78.21
2025-04-09,96.84
2025-04-10,88.7
2025-04-11,93.4
2025-04-14,94.5
2025-04-15,95.29
2025-04-16,88.29
2025-04-17,87.5
2025-04-21,85.56
2025-04-22,86.26
2025-04-23,90.39
2025-04-24,94.47
2025-04-25,96.645
2025-04-28,96.39
2025-04-29,96.06
2025-04-30,97.35
2025-05-01,96.65
2025-05-02,98.8
2025-05-05,100.59
2025-05-06,98.62
2025-05-07,100.36
2025-05-08,101.7
2025-05-09,102.84
2025-05-12,108.12
2025-05-13,112.46
2025-05-14,117.72
2025-05-15,114.99
2025-05-16,117.17
2025-05-19,114.74
2025-05-20,113.51
2025-05-21,112.06
2025-05-22,110.71
2025-05-23,110.31
