ds,y
2024-12-30,221.3
2024-12-31,219.39
2025-01-02,220.22
2025-01-03,224.19
2025-01-06,227.61
2025-01-07,222.11
2025-01-08,222.13
2025-01-10,218.94
2025-01-13,218.46
2025-01-14,217.76
2025-01-15,223.35
2025-01-16,220.66
2025-01-17,225.94
2025-01-21,230.71
2025-01-22,235.01
2025-01-23,235.42
2025-01-24,234.85
2025-01-27,235.42
2025-01-28,238.15
2025-01-29,237.07
2025-01-30,234.64
2025-01-31,237.68
2025-02-03,237.42
2025-02-04,242.06
2025-02-05,236.17
2025-02-06,238.83
2025-02-07,229.15
2025-02-10,233.14
2025-02-11,232.76
2025-02-12,228.93
2025-02-13,230.37
2025-02-14,228.68
2025-02-18,226.65
2025-02-19,226.63
2025-02-20,222.88
2025-02-21,216.58
2025-02-24,212.71
2025-02-25,212.8
2025-02-26,214.35
2025-02-27,208.74
2025-02-28,212.28
2025-03-03,205.02
2025-03-04,203.8
2025-03-05,208.36
2025-03-06,200.7
2025-03-07,199.25
2025-03-10,194.54
2025-03-11,196.59
2025-03-12,198.89
2025-03-13,193.89
2025-03-14,197.95
2025-03-17,195.74
2025-03-18,192.82
2025-03-19,195.54
2025-03-20,194.95
2025-03-21,196.21
2025-03-24,203.26
2025-03-25,205.71
2025-03-26,201.13
2025-03-27,201.36
2025-03-28,192.72
2025-03-31,190.26
2025-04-01,192.17
2025-04-02,196.01
2025-04-03,178.41
2025-04-04,171.0
2025-04-07,175.26
2025-04-08,170.66
2025-04-09,191.1
2025-04-10,181.22
2025-04-11,184.87
2025-04-14,182.12
2025-04-15,179.59
2025-04-16,174.33
2025-04-17,172.61
2025-04-21,167.32
2025-04-22,173.18
2025-04-23,180.6
2025-04-24,186.54
2025-04-25,188.99
2025-04-28,187.7
2025-04-29,187.39
2025-04-30,184.42
2025-05-01,190.2
2025-05-02,189.98
2025-05-05,186.35
2025-05-06,185.01
2025-05-07,188.71
2025-05-08,192.08
2025-05-09,193.06
2025-05-12,208.64
2025-05-13,211.37
2025-05-14,210.25
2025-05-15,205.17
2025-05-16,205.59
2025-05-19,206.16
2025-05-20,204.07
2025-05-21,201.12
2025-05-22,203.1
2025-05-23,200.99
