ds,y
2024-12-30,43.91
2024-12-31,43.95
2025-01-02,44.29
2025-01-03,44.81
2025-01-06,45.4
2025-01-07,46.08
2025-01-08,46.21
2025-01-10,45.11
2025-01-13,45.06
2025-01-14,45.78
2025-01-15,47.1
2025-01-16,46.64
2025-01-17,46.53
2025-01-21,46.66
2025-01-22,45.79
2025-01-23,46.39
2025-01-24,46.52
2025-01-27,47.09
2025-01-28,46.84
2025-01-29,46.75
2025-01-30,46.72
2025-01-31,46.3
2025-02-03,46.21
2025-02-04,46.71
2025-02-05,47.11
2025-02-06,47.74
2025-02-07,47.4
2025-02-10,46.67
2025-02-11,46.79
2025-02-12,46.21
2025-02-13,46.33
2025-02-14,46.96
2025-02-18,46.53
2025-02-19,46.01
2025-02-20,45.3
2025-02-21,44.81
2025-02-24,44.46
2025-02-25,43.94
2025-02-26,43.94
2025-02-27,44.12
2025-02-28,46.1
2025-03-03,45.56
2025-03-04,42.67
2025-03-05,42.29
2025-03-06,41.46
2025-03-07,41.4
2025-03-10,39.83
2025-03-11,39.61
2025-03-12,39.91
2025-03-13,39.67
2025-03-14,40.89
2025-03-17,41.44
2025-03-18,41.65
2025-03-19,42.21
2025-03-20,42.48
2025-03-21,42.47
2025-03-24,43.07
2025-03-25,43.28
2025-03-26,42.82
2025-03-27,42.56
2025-03-28,41.25
2025-03-31,41.73
2025-04-01,41.49
2025-04-02,41.85
2025-04-03,37.22
2025-04-04,34.39
2025-04-07,35.58
2025-04-08,35.03
2025-04-09,37.15
2025-04-10,35.85
2025-04-11,35.95
2025-04-14,36.67
2025-04-15,37.99
2025-04-16,37.33
2025-04-17,37.41
2025-04-21,36.92
2025-04-22,38.32
2025-04-23,38.75
2025-04-24,39.58
2025-04-25,39.69
2025-04-28,39.78
2025-04-29,39.99
2025-04-30,39.88
2025-05-01,40.17
2025-05-02,41.07
2025-05-05,41.12
2025-05-06,40.84
2025-05-07,40.93
2025-05-08,41.6
2025-05-09,41.79
2025-05-12,43.36
2025-05-13,44.28
2025-05-14,44.74
2025-05-15,44.38
2025-05-16,44.69
2025-05-19,44.77
2025-05-20,44.69
2025-05-21,43.25
2025-05-22,43.31
2025-05-23,43.2
