ds,y
2024-12-30,176.55
2024-12-31,177.0
2025-01-02,171.87
2025-01-03,169.9
2025-01-06,170.78
2025-01-07,172.51
2025-01-08,171.76
2025-01-10,172.0
2025-01-13,170.57
2025-01-14,167.02
2025-01-15,166.2
2025-01-16,168.93
2025-01-17,171.09
2025-01-21,175.56
2025-01-22,174.8
2025-01-23,178.5
2025-01-24,176.06
2025-01-27,175.16
2025-01-28,177.78
2025-01-29,173.66
2025-01-30,179.53
2025-01-31,176.52
2025-02-03,175.87
2025-02-04,176.23
2025-02-05,181.84
2025-02-06,184.8
2025-02-07,181.49
2025-02-10,180.55
2025-02-11,180.44
2025-02-12,186.25
2025-02-13,185.44
2025-02-14,184.42
2025-02-18,184.97
2025-02-19,186.15
2025-02-20,180.88
2025-02-21,177.15
2025-02-24,179.91
2025-02-25,178.27
2025-02-26,173.04
2025-02-27,173.83
2025-02-28,174.63
2025-03-03,170.06
2025-03-04,158.9
2025-03-05,163.16
2025-03-06,158.43
2025-03-07,154.18
2025-03-10,148.15
2025-03-11,154.06
2025-03-12,158.8
2025-03-13,159.32
2025-03-14,161.81
2025-03-17,161.85
2025-03-18,161.57
2025-03-19,172.62
2025-03-20,172.83
2025-03-21,178.11
2025-03-24,180.9
2025-03-25,182.59
2025-03-26,178.55
2025-03-27,179.11
2025-03-28,173.31
2025-03-31,170.55
2025-04-01,168.17
2025-04-02,168.56
2025-04-03,150.91
2025-04-04,136.59
2025-04-07,138.86
2025-04-08,139.39
2025-04-09,160.82
2025-04-10,155.52
2025-04-11,156.84
2025-04-14,159.28
2025-04-15,155.52
2025-04-16,156.47
2025-04-17,161.9
2025-04-21,159.34
2025-04-22,162.52
2025-04-23,172.37
2025-04-24,176.26
2025-04-25,177.95
2025-04-28,182.3
2025-04-29,182.0
2025-04-30,183.24
2025-05-01,182.89
2025-05-02,185.46
2025-05-05,186.46
2025-05-06,185.96
2025-05-07,185.56
2025-05-08,191.7
2025-05-09,194.85
2025-05-12,198.53
2025-05-13,203.42
2025-05-14,204.72
2025-05-15,206.24
2025-05-16,205.82
2025-05-19,205.25
2025-05-20,207.67
2025-05-21,203.21
2025-05-22,203.41
2025-05-23,202.36
