ds,y
2024-12-30,1027.43
2024-12-31,1025.11
2025-01-02,1017.4
2025-01-03,1020.83
2025-01-06,1012.74
2025-01-07,980.76
2025-01-08,986.1
2025-01-10,955.64
2025-01-13,955.01
2025-01-14,963.17
2025-01-15,1013.18
2025-01-16,995.72
2025-01-17,1004.96
2025-01-21,1012.09
2025-01-22,1006.34
2025-01-23,1017.73
2025-01-24,1020.45
2025-01-27,1029.94
2025-01-28,1051.2
2025-01-29,1052.61
2025-01-30,1071.52
2025-01-31,1075.5
2025-02-03,1013.75
2025-02-04,1015.66
2025-02-05,1014.5
2025-02-06,1006.62
2025-02-07,992.04
2025-02-10,985.55
2025-02-11,988.2
2025-02-12,973.71
2025-02-13,980.3
2025-02-14,973.92
2025-02-18,977.86
2025-02-19,986.34
2025-02-20,989.38
2025-02-21,974.22
2025-02-24,952.8
2025-02-25,958.01
2025-02-26,953.77
2025-02-27,944.89
2025-02-28,977.78
2025-03-03,966.47
2025-03-04,951.79
2025-03-05,968.14
2025-03-06,959.64
2025-03-07,946.92
2025-03-10,915.26
2025-03-11,910.37
2025-03-12,910.06
2025-03-13,900.46
2025-03-14,928.7
2025-03-17,958.0
2025-03-18,958.62
2025-03-19,957.23
2025-03-20,954.17
2025-03-21,951.73
2025-03-24,963.5
2025-03-25,973.48
2025-03-26,968.24
2025-03-27,967.94
2025-03-28,946.7
2025-03-31,946.48
2025-04-01,944.08
2025-04-02,961.84
2025-04-03,887.65
2025-04-04,822.62
2025-04-07,817.5
2025-04-08,815.72
2025-04-09,897.08
2025-04-10,858.78
2025-04-11,878.78
2025-04-14,889.95
2025-04-15,888.44
2025-04-16,865.78
2025-04-17,875.78
2025-04-21,854.0
2025-04-22,887.22
2025-04-23,892.54
2025-04-24,916.26
2025-04-25,907.69
2025-04-28,913.74
2025-04-29,920.52
2025-04-30,914.26
2025-05-01,916.14
2025-05-02,929.2
2025-05-05,920.53
2025-05-06,914.97
2025-05-07,920.36
2025-05-08,928.64
2025-05-09,923.44
2025-05-12,958.03
2025-05-13,959.18
2025-05-14,967.06
2025-05-15,983.08
2025-05-16,989.71
2025-05-19,993.66
2025-05-20,997.71
2025-05-21,972.83
2025-05-22,969.9
2025-05-23,963.18
