ds,y
2024-12-30,70.39
2024-12-31,70.39
2025-01-02,69.94
2025-01-03,71.0
2025-01-06,72.74
2025-01-07,73.68
2025-01-08,73.26
2025-01-10,71.4
2025-01-13,72.77
2025-01-14,73.5
2025-01-15,78.27
2025-01-16,78.51
2025-01-17,79.99
2025-01-21,81.67
2025-01-22,81.69
2025-01-23,81.98
2025-01-24,81.48
2025-01-27,81.07
2025-01-28,79.94
2025-01-29,80.63
2025-01-30,81.86
2025-01-31,81.43
2025-02-03,79.61
2025-02-04,78.48
2025-02-05,79.46
2025-02-06,82.33
2025-02-07,81.72
2025-02-10,80.73
2025-02-11,81.11
2025-02-12,81.27
2025-02-13,82.1
2025-02-14,84.61
2025-02-18,84.63
2025-02-19,83.94
2025-02-20,81.34
2025-02-21,79.65
2025-02-24,78.54
2025-02-25,78.14
2025-02-26,79.07
2025-02-27,78.87
2025-02-28,79.95
2025-03-03,77.17
2025-03-04,72.35
2025-03-05,72.96
2025-03-06,70.58
2025-03-07,70.46
2025-03-10,67.41
2025-03-11,67.5
2025-03-12,67.95
2025-03-13,67.23
2025-03-14,68.78
2025-03-17,69.94
2025-03-18,70.22
2025-03-19,71.44
2025-03-20,71.82
2025-03-21,71.98
2025-03-24,74.04
2025-03-25,74.47
2025-03-26,73.24
2025-03-27,71.85
2025-03-28,70.33
2025-03-31,70.99
2025-04-01,70.54
2025-04-02,71.76
2025-04-03,63.05
2025-04-04,58.13
2025-04-07,58.85
2025-04-08,58.77
2025-04-09,64.15
2025-04-10,61.59
2025-04-11,61.64
2025-04-14,63.22
2025-04-15,64.33
2025-04-16,62.1
2025-04-17,63.25
2025-04-21,62.69
2025-04-22,64.55
2025-04-23,66.3
2025-04-24,68.16
2025-04-25,68.43
2025-04-28,68.28
2025-04-29,68.88
2025-04-30,68.38
2025-05-01,68.14
2025-05-02,70.59
2025-05-05,70.24
2025-05-06,69.47
2025-05-07,70.25
2025-05-08,71.64
2025-05-09,71.45
2025-05-12,74.91
2025-05-13,75.57
2025-05-14,75.29
2025-05-15,75.96
2025-05-16,75.72
2025-05-19,76.13
2025-05-20,75.9
2025-05-21,73.42
2025-05-22,73.42
2025-05-23,73.09
