ds,y
2024-12-30,114.82
2024-12-31,115.24
2025-01-02,116.53
2025-01-03,119.91
2025-01-06,124.66
2025-01-07,121.27
2025-01-08,119.31
2025-01-10,114.77
2025-01-13,110.17
2025-01-14,109.06
2025-01-15,109.23
2025-01-16,110.11
2025-01-17,109.64
2025-01-21,111.55
2025-01-22,115.12
2025-01-23,114.22
2025-01-24,113.73
2025-01-27,103.84
2025-01-28,101.29
2025-01-29,103.1
2025-01-30,105.35
2025-01-31,103.6
2025-02-03,100.09
2025-02-04,101.67
2025-02-05,104.45
2025-02-06,105.92
2025-02-07,106.37
2025-02-10,112.31
2025-02-11,111.44
2025-02-12,112.92
2025-02-13,110.26
2025-02-14,114.38
2025-02-18,120.34
2025-02-19,120.96
2025-02-20,119.89
2025-02-21,117.6
2025-02-24,114.14
2025-02-25,110.65
2025-02-26,115.65
2025-02-27,107.83
2025-02-28,102.76
2025-03-03,95.56
2025-03-04,94.07
2025-03-05,97.25
2025-03-06,93.02
2025-03-07,91.46
2025-03-10,90.34
2025-03-11,91.57
2025-03-12,94.58
2025-03-13,92.45
2025-03-14,95.67
2025-03-17,97.66
2025-03-18,96.44
2025-03-19,98.72
2025-03-20,98.92
2025-03-21,97.57
2025-03-24,99.81
2025-03-25,98.86
2025-03-26,96.26
2025-03-27,97.1
2025-03-28,92.29
2025-03-31,91.15
2025-04-01,91.96
2025-04-02,95.33
2025-04-03,77.23
2025-04-04,71.63
2025-04-07,75.0
2025-04-08,72.59
2025-04-09,84.19
2025-04-10,78.94
2025-04-11,81.93
2025-04-14,85.19
2025-04-15,85.49
2025-04-16,83.36
2025-04-17,84.8
2025-04-21,82.39
2025-04-22,84.08
2025-04-23,89.16
2025-04-24,94.4
2025-04-25,94.89
2025-04-28,94.47
2025-04-29,93.78
2025-04-30,91.76
2025-05-01,91.95
2025-05-02,94.59
2025-05-05,94.36
2025-05-06,93.95
2025-05-07,95.79
2025-05-08,96.22
2025-05-09,95.91
2025-05-12,103.42
2025-05-13,107.85
2025-05-14,111.02
2025-05-15,110.87
2025-05-16,114.19
2025-05-19,114.28
2025-05-20,114.23
2025-05-21,111.93
2025-05-22,111.95
2025-05-23,112.11
