ds,y
2024-12-30,420.72
2024-12-31,419.76
2025-01-02,434.93
2025-01-03,438.08
2025-01-06,424.5
2025-01-07,410.9
2025-01-08,412.69
2025-01-10,402.33
2025-01-13,410.14
2025-01-14,416.08
2025-01-15,413.93
2025-01-16,418.91
2025-01-17,427.35
2025-01-21,440.8
2025-01-22,442.12
2025-01-23,447.76
2025-01-24,434.23
2025-01-27,431.15
2025-01-28,429.81
2025-01-29,427.78
2025-01-30,450.8
2025-01-31,449.12
2025-02-03,455.85
2025-02-04,465.93
2025-02-05,454.75
2025-02-06,470.56
2025-02-07,466.74
2025-02-10,474.94
2025-02-11,474.06
2025-02-12,471.47
2025-02-13,479.88
2025-02-14,476.66
2025-02-18,477.53
2025-02-19,475.35
2025-02-20,471.76
2025-02-21,462.37
2025-02-24,455.64
2025-02-25,470.14
2025-02-26,479.11
2025-02-27,482.28
2025-02-28,489.71
2025-03-03,483.82
2025-03-04,481.77
2025-03-05,476.18
2025-03-06,480.24
2025-03-07,472.05
2025-03-10,440.03
2025-03-11,430.56
2025-03-12,438.71
2025-03-13,428.67
2025-03-14,425.58
2025-03-17,449.6
2025-03-18,452.68
2025-03-19,461.67
2025-03-20,466.05
2025-03-21,461.4
2025-03-24,466.04
2025-03-25,460.27
2025-03-26,466.84
2025-03-27,471.28
2025-03-28,447.12
2025-03-31,459.45
2025-04-01,465.47
2025-04-02,468.35
2025-04-03,463.78
2025-04-04,444.21
2025-04-07,436.57
2025-04-08,430.72
2025-04-09,456.35
2025-04-10,453.05
2025-04-11,462.17
2025-04-14,475.87
2025-04-15,468.56
2025-04-16,462.25
2025-04-17,466.74
2025-04-21,468.27
2025-04-22,486.14
2025-04-23,485.88
2025-04-24,487.97
2025-04-25,487.58
2025-04-28,490.64
2025-04-29,493.43
2025-04-30,490.37
2025-05-01,481.39
2025-05-02,484.61
2025-05-05,477.84
2025-05-06,479.49
2025-05-07,476.68
2025-05-08,476.82
2025-05-09,478.9
2025-05-12,482.11
2025-05-13,484.4
2025-05-14,483.23
2025-05-15,485.91
2025-05-16,495.05
2025-05-19,497.52
2025-05-20,493.07
2025-05-21,480.49
2025-05-22,482.26
2025-05-23,480.43
