ds,y
2024-12-30,62.06
2024-12-31,61.95
2025-01-02,62.27
2025-01-03,61.61
2025-01-06,62.94
2025-01-07,63.17
2025-01-08,69.4
2025-01-10,65.9
2025-01-13,65.72
2025-01-14,64.41
2025-01-15,65.11
2025-01-16,65.06
2025-01-17,66.19
2025-01-21,64.63
2025-01-22,63.88
2025-01-23,64.75
2025-01-24,64.81
2025-01-27,66.84
2025-01-28,67.19
2025-01-29,66.0
2025-01-30,67.52
2025-01-31,67.48
2025-02-03,67.18
2025-02-04,66.95
2025-02-05,67.39
2025-02-06,67.5
2025-02-07,67.83
2025-02-10,68.26
2025-02-11,68.46
2025-02-12,67.94
2025-02-13,69.26
2025-02-14,69.9
2025-02-18,69.79
2025-02-19,69.32
2025-02-20,69.46
2025-02-21,69.39
2025-02-24,69.99
2025-02-25,70.93
2025-02-26,69.14
2025-02-27,63.48
2025-02-28,64.74
2025-03-03,65.22
2025-03-04,66.67
2025-03-05,66.55
2025-03-06,67.87
2025-03-07,70.51
2025-03-10,68.19
2025-03-11,65.22
2025-03-12,65.13
2025-03-13,64.25
2025-03-14,65.28
2025-03-17,67.44
2025-03-18,65.24
2025-03-19,67.2
2025-03-20,66.34
2025-03-21,65.78
2025-03-24,66.54
2025-03-25,66.3
2025-03-26,65.58
2025-03-27,66.81
2025-03-28,67.16
2025-03-31,67.73
2025-04-01,67.8
2025-04-02,67.42
2025-04-03,66.36
2025-04-04,62.4
2025-04-07,61.19
2025-04-08,59.52
2025-04-09,61.96
2025-04-10,62.47
2025-04-11,64.58
2025-04-14,66.07
2025-04-15,65.5
2025-04-16,65.47
2025-04-17,66.26
2025-04-21,65.63
2025-04-22,67.05
2025-04-23,66.63
2025-04-24,67.2
2025-04-25,67.83
2025-04-28,66.32
2025-04-29,67.2
2025-04-30,68.16
2025-05-01,67.67
2025-05-02,68.6
2025-05-05,70.31
2025-05-06,70.36
2025-05-07,69.76
2025-05-08,70.56
2025-05-09,69.51
2025-05-12,69.16
2025-05-13,69.17
2025-05-14,69.15
2025-05-15,70.6
2025-05-16,71.84
2025-05-19,72.43
2025-05-20,72.59
2025-05-21,71.58
2025-05-22,72.15
2025-05-23,71.92
