ds,y
2024-12-30,21.4
2024-12-31,21.35
2025-01-02,21.47
2025-01-03,21.82
2025-01-06,22.85
2025-01-07,22.28
2025-01-08,22.03
2025-01-10,22.08
2025-01-13,21.98
2025-01-14,22.54
2025-01-15,23.3
2025-01-16,23.41
2025-01-17,23.14
2025-01-21,23.7
2025-01-22,24.42
2025-01-23,24.36
2025-01-24,24.37
2025-01-27,22.95
2025-01-28,21.46
2025-01-29,21.66
2025-01-30,21.19
2025-01-31,21.19
2025-02-03,20.46
2025-02-04,20.83
2025-02-05,21.36
2025-02-06,21.36
2025-02-07,21.27
2025-02-10,21.43
2025-02-11,21.18
2025-02-12,21.09
2025-02-13,21.28
2025-02-14,21.71
2025-02-18,21.78
2025-02-19,21.85
2025-02-20,21.74
2025-02-21,21.14
2025-02-24,20.75
2025-02-25,20.29
2025-02-26,20.37
2025-02-27,19.84
2025-02-28,19.81
2025-03-03,19.03
2025-03-04,18.84
2025-03-05,18.89
2025-03-06,17.96
2025-03-07,15.81
2025-03-10,15.08
2025-03-11,15.34
2025-03-12,15.09
2025-03-13,14.77
2025-03-14,15.62
2025-03-17,15.84
2025-03-18,15.93
2025-03-19,16.34
2025-03-20,16.23
2025-03-21,16.05
2025-03-24,16.48
2025-03-25,16.52
2025-03-26,16.07
2025-03-27,15.94
2025-03-28,15.79
2025-03-31,15.43
2025-04-01,15.64
2025-04-02,16.12
2025-04-03,13.68
2025-04-04,12.79
2025-04-07,13.33
2025-04-08,12.51
2025-04-09,14.5
2025-04-10,13.74
2025-04-11,14.14
2025-04-14,14.28
2025-04-15,15.01
2025-04-16,14.88
2025-04-17,15.14
2025-04-21,14.82
2025-04-22,15.15
2025-04-23,15.35
2025-04-24,16.18
2025-04-25,16.24
2025-04-28,16.49
2025-04-29,16.31
2025-04-30,16.22
2025-05-01,16.41
2025-05-02,16.86
2025-05-05,16.67
2025-05-06,16.49
2025-05-07,16.56
2025-05-08,16.87
2025-05-09,16.89
2025-05-12,17.74
2025-05-13,17.92
2025-05-14,17.85
2025-05-15,17.62
2025-05-16,17.75
2025-05-19,17.46
2025-05-20,17.72
2025-05-21,17.54
2025-05-22,17.55
2025-05-23,17.42
