ds,y
2024-12-30,31.4
2024-12-31,32.02
2025-01-02,33.12
2025-01-03,33.13
2025-01-06,33.06
2025-01-07,33.46
2025-01-08,32.79
2025-01-10,34.26
2025-01-13,35.25
2025-01-14,35.44
2025-01-15,36.68
2025-01-16,36.7
2025-01-17,36.38
2025-01-21,36.38
2025-01-22,35.68
2025-01-23,35.31
2025-01-24,34.72
2025-01-27,33.89
2025-01-28,32.92
2025-01-29,32.75
2025-01-30,31.82
2025-01-31,31.59
2025-02-03,31.2
2025-02-04,32.59
2025-02-05,33.19
2025-02-06,27.72
2025-02-07,26.77
2025-02-10,27.42
2025-02-11,27.24
2025-02-12,26.95
2025-02-13,27.29
2025-02-14,26.54
2025-02-18,26.27
2025-02-19,25.71
2025-02-20,27.08
2025-02-21,26.25
2025-02-24,27.64
2025-02-25,26.91
2025-02-26,26.09
2025-02-27,26.37
2025-02-28,26.51
2025-03-03,24.69
2025-03-04,25.34
2025-03-05,25.25
2025-03-06,25.08
2025-03-07,25.57
2025-03-10,25.42
2025-03-11,25.29
2025-03-12,25.28
2025-03-13,24.83
2025-03-14,25.86
2025-03-17,25.33
2025-03-18,25.38
2025-03-19,25.46
2025-03-20,25.33
2025-03-21,24.8
2025-03-24,25.45
2025-03-25,25.6
2025-03-26,26.02
2025-03-27,25.74
2025-03-28,25.26
2025-03-31,26.12
2025-04-01,26.5
2025-04-02,26.78
2025-04-03,22.71
2025-04-04,19.82
2025-04-07,20.06
2025-04-08,18.98
2025-04-09,21.71
2025-04-10,18.42
2025-04-11,19.21
2025-04-14,19.23
2025-04-15,19.7
2025-04-16,19.65
2025-04-17,20.59
2025-04-21,19.78
2025-04-22,19.83
2025-04-23,19.8
2025-04-24,20.21
2025-04-25,19.97
2025-04-28,19.82
2025-04-29,19.85
2025-04-30,18.89
2025-05-01,19.64
2025-05-02,20.23
2025-05-05,19.45
2025-05-06,19.21
2025-05-07,19.0
2025-05-08,18.34
2025-05-09,18.28
2025-05-12,19.27
2025-05-13,19.12
2025-05-14,18.77
2025-05-15,18.17
2025-05-16,17.8
2025-05-19,16.82
2025-05-20,16.11
2025-05-21,15.21
2025-05-22,15.62
2025-05-23,15.46
