ds,y
2024-12-30,129.13
2024-12-31,129.09
2025-01-02,129.7
2025-01-03,129.87
2025-01-06,130.29
2025-01-07,132.77
2025-01-08,134.53
2025-01-10,131.21
2025-01-13,134.6
2025-01-14,137.21
2025-01-15,137.78
2025-01-16,139.18
2025-01-17,141.03
2025-01-21,146.89
2025-01-22,149.12
2025-01-23,149.63
2025-01-24,149.43
2025-01-27,151.52
2025-01-28,151.4
2025-01-29,151.54
2025-01-30,154.4
2025-01-31,152.2
2025-02-03,150.04
2025-02-04,151.68
2025-02-05,152.45
2025-02-06,152.32
2025-02-07,149.87
2025-02-10,149.69
2025-02-11,150.07
2025-02-12,148.87
2025-02-13,148.72
2025-02-14,148.62
2025-02-18,148.99
2025-02-19,150.2
2025-02-20,149.08
2025-02-21,144.98
2025-02-24,145.48
2025-02-25,146.54
2025-02-26,147.43
2025-02-27,150.52
2025-02-28,155.12
2025-03-03,153.42
2025-03-04,145.86
2025-03-05,147.61
2025-03-06,146.94
2025-03-07,146.3
2025-03-10,147.62
2025-03-11,147.54
2025-03-12,150.24
2025-03-13,146.1
2025-03-14,150.41
2025-03-17,153.21
2025-03-18,150.92
2025-03-19,153.21
2025-03-20,151.27
2025-03-21,150.36
2025-03-24,153.15
2025-03-25,153.5
2025-03-26,152.68
2025-03-27,148.44
2025-03-28,144.84
2025-03-31,146.86
2025-04-01,147.67
2025-04-02,147.76
2025-04-03,139.74
2025-04-04,126.91
2025-04-07,128.55
2025-04-08,127.16
2025-04-09,138.32
2025-04-10,132.97
2025-04-11,135.95
2025-04-14,136.01
2025-04-15,135.26
2025-04-16,130.46
2025-04-17,130.21
2025-04-21,126.09
2025-04-22,136.33
2025-04-23,136.06
2025-04-24,138.88
2025-04-25,137.32
2025-04-28,137.93
2025-04-29,138.38
2025-04-30,138.91
2025-05-01,137.9
2025-05-02,142.08
2025-05-05,140.8
2025-05-06,138.02
2025-05-07,138.64
2025-05-08,141.12
2025-05-09,142.6
2025-05-12,150.33
2025-05-13,150.74
2025-05-14,147.88
2025-05-15,148.74
2025-05-16,153.11
2025-05-19,154.14
2025-05-20,154.15
2025-05-21,149.4
2025-05-22,149.78
2025-05-23,147.62
