ds,y
2024-12-30,137.49
2024-12-31,134.29
2025-01-02,138.31
2025-01-03,144.47
2025-01-06,149.43
2025-01-07,140.14
2025-01-08,140.11
2025-01-10,135.91
2025-01-13,133.23
2025-01-14,131.76
2025-01-15,136.24
2025-01-16,133.57
2025-01-17,137.71
2025-01-21,140.83
2025-01-22,147.07
2025-01-23,147.22
2025-01-24,142.62
2025-01-27,118.42
2025-01-28,128.99
2025-01-29,123.7
2025-01-30,124.65
2025-01-31,120.07
2025-02-03,116.66
2025-02-04,118.65
2025-02-05,124.83
2025-02-06,128.68
2025-02-07,129.84
2025-02-10,133.57
2025-02-11,132.8
2025-02-12,131.14
2025-02-13,135.29
2025-02-14,138.85
2025-02-18,139.4
2025-02-19,139.23
2025-02-20,140.11
2025-02-21,134.43
2025-02-24,130.28
2025-02-25,126.63
2025-02-26,131.28
2025-02-27,120.15
2025-02-28,124.92
2025-03-03,114.06
2025-03-04,115.99
2025-03-05,117.3
2025-03-06,110.57
2025-03-07,112.69
2025-03-10,106.98
2025-03-11,108.76
2025-03-12,115.74
2025-03-13,115.58
2025-03-14,121.67
2025-03-17,119.53
2025-03-18,115.43
2025-03-19,117.52
2025-03-20,118.53
2025-03-21,117.7
2025-03-24,121.41
2025-03-25,120.69
2025-03-26,113.76
2025-03-27,111.43
2025-03-28,109.67
2025-03-31,108.38
2025-04-01,110.15
2025-04-02,110.42
2025-04-03,101.8
2025-04-04,94.31
2025-04-07,97.64
2025-04-08,96.3
2025-04-09,114.33
2025-04-10,107.57
2025-04-11,110.93
2025-04-14,110.71
2025-04-15,112.2
2025-04-16,104.49
2025-04-17,101.49
2025-04-21,96.91
2025-04-22,98.89
2025-04-23,102.71
2025-04-24,106.43
2025-04-25,111.01
2025-04-28,108.73
2025-04-29,109.02
2025-04-30,108.92
2025-05-01,111.61
2025-05-02,114.5
2025-05-05,113.82
2025-05-06,113.54
2025-05-07,117.06
2025-05-08,117.37
2025-05-09,116.65
2025-05-12,123.0
2025-05-13,129.93
2025-05-14,135.34
2025-05-15,134.83
2025-05-16,135.4
2025-05-19,135.57
2025-05-20,134.38
2025-05-21,131.8
2025-05-22,132.83
2025-05-23,131.29
