ds,y
2024-12-30,90.58
2024-12-31,91.25
2025-01-02,92.17
2025-01-03,92.58
2025-01-06,93.13
2025-01-07,92.84
2025-01-08,92.6
2025-01-10,92.25
2025-01-13,93.51
2025-01-14,93.07
2025-01-15,93.08
2025-01-16,94.43
2025-01-17,95.13
2025-01-21,97.98
2025-01-22,97.73
2025-01-23,97.99
2025-01-24,98.81
2025-01-27,100.02
2025-01-28,100.41
2025-01-29,108.58
2025-01-30,109.0
2025-01-31,107.68
2025-02-03,108.16
2025-02-04,110.6
2025-02-05,112.25
2025-02-06,111.7
2025-02-07,112.2
2025-02-10,111.45
2025-02-11,111.03
2025-02-12,113.04
2025-02-13,113.0
2025-02-14,112.55
2025-02-18,113.03
2025-02-19,112.49
2025-02-20,113.34
2025-02-21,111.75
2025-02-24,113.19
2025-02-25,114.59
2025-02-26,113.0
2025-02-27,114.49
2025-02-28,115.81
2025-03-03,115.41
2025-03-04,112.06
2025-03-05,111.69
2025-03-06,105.47
2025-03-07,106.48
2025-03-10,101.13
2025-03-11,99.58
2025-03-12,98.69
2025-03-13,96.04
2025-03-14,98.11
2025-03-17,99.08
2025-03-18,98.28
2025-03-19,99.19
2025-03-20,99.28
2025-03-21,97.07
2025-03-24,95.72
2025-03-25,95.88
2025-03-26,97.97
2025-03-27,98.85
2025-03-28,97.73
2025-03-31,98.09
2025-04-01,98.23
2025-04-02,99.41
2025-04-03,88.26
2025-04-04,82.1
2025-04-07,80.0
2025-04-08,79.69
2025-04-09,88.68
2025-04-10,84.6
2025-04-11,85.43
2025-04-14,85.49
2025-04-15,83.71
2025-04-16,80.76
2025-04-17,81.5
2025-04-21,80.68
2025-04-22,81.75
2025-04-23,82.81
2025-04-24,83.86
2025-04-25,83.81
2025-04-28,83.9
2025-04-29,84.85
2025-04-30,80.05
2025-05-01,82.01
2025-05-02,84.69
2025-05-05,81.66
2025-05-06,82.78
2025-05-07,82.71
2025-05-08,82.19
2025-05-09,80.3
2025-05-12,85.67
2025-05-13,86.88
2025-05-14,86.535
2025-05-15,87.26
2025-05-16,85.57
2025-05-19,84.61
2025-05-20,85.59
2025-05-21,82.98
2025-05-22,83.97
2025-05-23,84.4
